date,manufacturing_pmi,available_date,ma6,ma12,signal_score,signal_text,effective_date
2008-01-31,53.0,2008-01-31,,,,样本不足,2008-02-01
2008-02-29,53.4,2008-02-29,,,,样本不足,2008-03-03
2008-03-31,58.4,2008-03-31,,,,样本不足,2008-04-01
2008-04-30,59.2,2008-04-30,,,,样本不足,2008-05-05
2008-05-31,53.3,2008-05-31,,,,样本不足,2008-06-02
2008-06-30,52.0,2008-06-30,54.88333333333333,,,样本不足,2008-07-01
2008-07-31,48.4,2008-07-31,54.11666666666667,,,样本不足,2008-08-01
2008-08-31,48.4,2008-08-31,53.28333333333334,,,样本不足,2008-09-01
2008-09-30,51.2,2008-09-30,52.083333333333336,,,样本不足,2008-10-06
2008-10-31,44.6,2008-10-31,49.65,,,样本不足,2008-11-03
2008-11-30,38.8,2008-11-30,47.23333333333333,,,样本不足,2008-12-01
2008-12-31,41.2,2008-12-31,45.43333333333333,50.15833333333333,-1.0,看空：PMI趋势下行,2009-01-05
2009-01-31,45.3,2009-01-31,44.916666666666664,49.51666666666667,-1.0,看空：PMI趋势下行,2009-02-02
2009-02-28,49.0,2009-02-28,45.01666666666667,49.150000000000006,-1.0,看空：PMI趋势下行,2009-03-02
2009-03-31,52.4,2009-03-31,45.21666666666667,48.650000000000006,-1.0,看空：PMI趋势下行,2009-04-01
2009-04-30,53.5,2009-04-30,46.699999999999996,48.175000000000004,-1.0,看空：PMI趋势下行,2009-05-04
2009-05-31,53.1,2009-05-31,49.083333333333336,48.15833333333334,1.0,看多：PMI趋势上行,2009-06-01
2009-06-30,53.2,2009-06-30,51.083333333333336,48.25833333333333,1.0,看多：PMI趋势上行,2009-07-01
2009-07-31,53.3,2009-07-31,52.416666666666664,48.666666666666664,1.0,看多：PMI趋势上行,2009-08-03
2009-08-31,54.0,2009-08-31,53.25,49.13333333333333,1.0,看多：PMI趋势上行,2009-09-01
2009-09-30,54.3,2009-09-30,53.56666666666666,49.39166666666667,1.0,看多：PMI趋势上行,2009-10-09
2009-10-31,55.2,2009-10-31,53.85,50.275000000000006,1.0,看多：PMI趋势上行,2009-11-02
2009-11-30,55.2,2009-11-30,54.199999999999996,51.64166666666666,1.0,看多：PMI趋势上行,2009-12-01
2009-12-31,56.6,2009-12-31,54.76666666666667,52.925000000000004,1.0,看多：PMI趋势上行,2010-01-04
2010-01-31,55.8,2010-01-31,55.18333333333333,53.79999999999999,1.0,看多：PMI趋势上行,2010-02-01
2010-02-28,52.0,2010-02-28,54.849999999999994,54.04999999999999,1.0,看多：PMI趋势上行,2010-03-01
2010-03-31,55.1,2010-03-31,54.98333333333334,54.275,1.0,看多：PMI趋势上行,2010-04-01
2010-04-30,55.7,2010-04-30,55.06666666666666,54.458333333333336,1.0,看多：PMI趋势上行,2010-05-04
2010-05-31,53.9,2010-05-31,54.85,54.525,1.0,看多：PMI趋势上行,2010-06-01
2010-06-30,52.1,2010-06-30,54.099999999999994,54.43333333333334,-1.0,看空：PMI趋势下行,2010-07-01
2010-07-31,51.2,2010-07-31,53.333333333333336,54.258333333333326,-1.0,看空：PMI趋势下行,2010-08-02
2010-08-31,51.7,2010-08-31,53.28333333333334,54.06666666666666,-1.0,看空：PMI趋势下行,2010-09-01
2010-09-30,53.8,2010-09-30,53.06666666666666,54.025,-1.0,看空：PMI趋势下行,2010-10-08
2010-10-31,54.7,2010-10-31,52.900000000000006,53.98333333333333,-1.0,看空：PMI趋势下行,2010-11-01
2010-11-30,55.2,2010-11-30,53.11666666666667,53.98333333333334,-1.0,看空：PMI趋势下行,2010-12-01
2010-12-31,53.9,2010-12-31,53.416666666666664,53.75833333333333,-1.0,看空：PMI趋势下行,2011-01-04
2011-01-31,52.9,2011-01-31,53.70000000000001,53.51666666666667,1.0,看多：PMI趋势上行,2011-02-01
2011-02-28,52.2,2011-02-28,53.78333333333333,53.53333333333334,1.0,看多：PMI趋势上行,2011-03-01
2011-03-31,53.4,2011-03-31,53.71666666666667,53.39166666666667,1.0,看多：PMI趋势上行,2011-04-01
2011-04-30,52.9,2011-04-30,53.416666666666664,53.15833333333333,1.0,看多：PMI趋势上行,2011-05-03
2011-05-31,52.0,2011-05-31,52.88333333333333,53.0,-1.0,看空：PMI趋势下行,2011-06-01
2011-06-30,50.9,2011-06-30,52.38333333333333,52.9,-1.0,看空：PMI趋势下行,2011-07-01
2011-07-31,50.7,2011-07-31,52.01666666666666,52.85833333333334,-1.0,看空：PMI趋势下行,2011-08-01
2011-08-31,50.9,2011-08-31,51.800000000000004,52.791666666666664,-1.0,看空：PMI趋势下行,2011-09-01
2011-09-30,51.2,2011-09-30,51.43333333333334,52.57500000000001,-1.0,看空：PMI趋势下行,2011-10-10
2011-10-31,50.4,2011-10-31,51.01666666666667,52.21666666666667,-1.0,看空：PMI趋势下行,2011-11-01
2011-11-30,49.0,2011-11-30,50.51666666666667,51.699999999999996,-1.0,看空：PMI趋势下行,2011-12-01
2011-12-31,50.3,2011-12-31,50.416666666666664,51.4,-1.0,看空：PMI趋势下行,2012-01-04
2012-01-31,50.5,2012-01-31,50.38333333333333,51.199999999999996,-1.0,看空：PMI趋势下行,2012-02-01
2012-02-29,51.0,2012-02-29,50.4,51.099999999999994,-1.0,看空：PMI趋势下行,2012-03-01
2012-03-31,53.1,2012-03-31,50.71666666666667,51.074999999999996,-1.0,看空：PMI趋势下行,2012-04-05
2012-04-30,53.3,2012-04-30,51.199999999999996,51.10833333333333,1.0,看多：PMI趋势上行,2012-05-02
2012-05-31,50.4,2012-05-31,51.43333333333334,50.975,1.0,看多：PMI趋势上行,2012-06-01
