date,signal_available_date,cpi_yoy_pct,cpi_smooth,ppi_yoy_pct,inflation_direction,signal_score,signal_text,effective_date
2008-06-30,2008-07-20,7.0844,7.7612,8.84,8.3006,-1,看空：通胀方向因子未较3个月前下行（通胀未回落）,2008-07-21
2008-07-31,2008-08-20,6.302,7.034233333333333,10.03,8.532116666666667,-1,看空：通胀方向因子未较3个月前下行（通胀未回落）,2008-08-21
2008-08-31,2008-09-20,4.9001,6.095499999999999,10.06,8.07775,1,看多：通胀方向因子较3个月前下行（通胀回落，货币宽松空间打开）,2008-09-22
2008-09-30,2008-10-20,4.6425,5.281533333333333,9.13,7.205766666666667,1,看多：通胀方向因子较3个月前下行（通胀回落，货币宽松空间打开）,2008-10-21
2008-10-31,2008-11-20,3.9744,4.5056666666666665,6.59,5.547833333333333,1,看多：通胀方向因子较3个月前下行（通胀回落，货币宽松空间打开）,2008-11-21
2008-11-30,2008-12-20,2.434,3.683633333333333,1.99,2.8368166666666665,1,看多：通胀方向因子较3个月前下行（通胀回落，货币宽松空间打开）,2008-12-22
2008-12-31,2009-01-20,1.1999,2.5360999999999994,-1.14,0.6980499999999997,1,看多：通胀方向因子较3个月前下行（通胀回落，货币宽松空间打开）,2009-01-21
2009-01-31,2009-02-20,0.95,1.527966666666666,-3.35,-0.911016666666667,1,看多：通胀方向因子较3个月前下行（通胀回落，货币宽松空间打开）,2009-02-23
2009-02-28,2009-03-20,-1.5582,0.1972333333333327,-4.47,-2.1363833333333337,1,看多：通胀方向因子较3个月前下行（通胀回落，货币宽松空间打开）,2009-03-23
2009-03-31,2009-04-20,-1.1714,-0.5932000000000006,-5.99,-3.2916000000000003,1,看多：通胀方向因子较3个月前下行（通胀回落，货币宽松空间打开）,2009-04-21
2009-04-30,2009-05-20,-1.5,-1.409866666666667,-6.6,-4.004933333333334,1,看多：通胀方向因子较3个月前下行（通胀回落，货币宽松空间打开）,2009-05-21
2009-05-31,2009-06-20,-1.3713,-1.3475666666666672,-7.2,-4.273783333333334,1,看多：通胀方向因子较3个月前下行（通胀回落，货币宽松空间打开）,2009-06-22
2009-06-30,2009-07-20,-1.7,-1.5237666666666672,-7.8,-4.661883333333334,1,看多：通胀方向因子较3个月前下行（通胀回落，货币宽松空间打开）,2009-07-21
2009-07-31,2009-08-20,-1.8057,-1.6256666666666673,-8.22,-4.922833333333334,1,看多：通胀方向因子较3个月前下行（通胀回落，货币宽松空间打开）,2009-08-21
2009-08-31,2009-09-20,-1.2043,-1.5700000000000005,-7.86,-4.715000000000001,1,看多：通胀方向因子较3个月前下行（通胀回落，货币宽松空间打开）,2009-09-21
2009-09-30,2009-10-20,-0.7883,-1.2661000000000007,-6.99,-4.12805,-1,看空：通胀方向因子未较3个月前下行（通胀未回落）,2009-10-21
2009-10-31,2009-11-20,-0.53,-0.8408666666666672,-5.85,-3.3454333333333333,-1,看空：通胀方向因子未较3个月前下行（通胀未回落）,2009-11-23
2009-11-30,2009-12-20,0.56,-0.25276666666666725,-2.08,-1.1663833333333335,-1,看空：通胀方向因子未较3个月前下行（通胀未回落）,2009-12-21
2009-12-31,2010-01-20,1.8559,0.6286333333333328,1.7,1.1643166666666664,-1,看空：通胀方向因子未较3个月前下行（通胀未回落）,2010-01-21
2010-01-31,2010-02-20,1.53,1.3152999999999995,4.32,2.81765,-1,看空：通胀方向因子未较3个月前下行（通胀未回落）,2010-02-22
2010-02-28,2010-03-20,2.6953,2.0270666666666664,5.39,3.708533333333333,-1,看空：通胀方向因子未较3个月前下行（通胀未回落）,2010-03-22
2010-03-31,2010-04-20,2.3707,2.198666666666666,5.91,4.054333333333333,-1,看空：通胀方向因子未较3个月前下行（通胀未回落）,2010-04-21
2010-04-30,2010-05-20,2.8136,2.6265333333333327,6.81,4.718266666666667,-1,看空：通胀方向因子未较3个月前下行（通胀未回落）,2010-05-21
2010-05-31,2010-06-20,3.0613,2.748533333333333,7.13,4.939266666666667,-1,看空：通胀方向因子未较3个月前下行（通胀未回落）,2010-06-21
2010-06-30,2010-07-20,2.9499,2.9415999999999998,6.41,4.6758,-1,看空：通胀方向因子未较3个月前下行（通胀未回落）,2010-07-21
2010-07-31,2010-08-20,3.3042,3.105133333333333,4.84,3.9725666666666664,1,看多：通胀方向因子较3个月前下行（通胀回落，货币宽松空间打开）,2010-08-23
2010-08-31,2010-09-20,3.4794,3.2445,4.32,3.7822500000000003,1,看多：通胀方向因子较3个月前下行（通胀回落，货币宽松空间打开）,2010-09-21
2010-09-30,2010-10-20,3.6056,3.4630666666666663,4.33,3.896533333333333,1,看多：通胀方向因子较3个月前下行（通胀回落，货币宽松空间打开）,2010-10-21
2010-10-31,2010-11-20,4.3655,3.816833333333333,5.04,4.428416666666666,-1,看空：通胀方向因子未较3个月前下行（通胀未回落）,2010-11-22
2010-11-30,2010-12-20,5.1192,4.363433333333333,6.06,5.211716666666666,-1,看空：通胀方向因子未较3个月前下行（通胀未回落）,2010-12-21
2010-12-31,2011-01-20,4.5859,4.6902,5.93,5.3101,-1,看空：通胀方向因子未较3个月前下行（通胀未回落）,2011-01-21
2011-01-31,2011-02-20,4.9121,4.872399999999999,6.6436,5.757999999999999,-1,看空：通胀方向因子未较3个月前下行（通胀未回落）,2011-02-21
2011-02-28,2011-03-20,4.9443,4.8141,7.2322,6.023149999999999,-1,看空：通胀方向因子未较3个月前下行（通胀未回落）,2011-03-21
2011-03-31,2011-04-20,5.383,5.0798,7.3081,6.193949999999999,-1,看空：通胀方向因子未较3个月前下行（通胀未回落）,2011-04-21
2011-04-30,2011-05-20,5.3442,5.223833333333332,6.821,6.0224166666666665,-1,看空：通胀方向因子未较3个月前下行（通胀未回落）,2011-05-23
2011-05-31,2011-06-20,5.5146,5.413933333333333,6.7851,6.099516666666666,-1,看空：通胀方向因子未较3个月前下行（通胀未回落）,2011-06-21
2011-06-30,2011-07-20,6.3553,5.738033333333333,7.1209,6.429466666666666,-1,看空：通胀方向因子未较3个月前下行（通胀未回落）,2011-07-21
2011-07-31,2011-08-20,6.4508,6.106899999999999,7.5417,6.824299999999999,-1,看空：通胀方向因子未较3个月前下行（通胀未回落）,2011-08-22
2011-08-31,2011-09-20,6.1514,6.319166666666667,7.2528,6.785983333333333,-1,看空：通胀方向因子未较3个月前下行（通胀未回落）,2011-09-21
2011-09-30,2011-10-20,6.0671,6.2231,6.5227,6.3729,1,看多：通胀方向因子较3个月前下行（通胀回落，货币宽松空间打开）,2011-10-21
2011-10-31,2011-11-20,5.4954,5.904633333333333,5.0038,5.4542166666666665,1,看多：通胀方向因子较3个月前下行（通胀回落，货币宽松空间打开）,2011-11-21
2011-11-30,2011-12-20,4.2246,5.262366666666666,2.7179,3.990133333333333,1,看多：通胀方向因子较3个月前下行（通胀回落，货币宽松空间打开）,2011-12-21
2011-12-31,2012-01-20,4.0704,4.596799999999999,1.6854,3.1411,1,看多：通胀方向因子较3个月前下行（通胀回落，货币宽松空间打开）,2012-01-30
2012-01-31,2012-02-20,4.5485,4.281166666666667,0.7347,2.5079333333333333,1,看多：通胀方向因子较3个月前下行（通胀回落，货币宽松空间打开）,2012-02-21
2012-02-29,2012-03-20,3.1613,3.926733333333333,0.0284,1.9775666666666665,1,看多：通胀方向因子较3个月前下行（通胀回落，货币宽松空间打开）,2012-03-21
2012-03-31,2012-04-20,3.5856,3.7651333333333326,-0.3171,1.7240166666666663,1,看多：通胀方向因子较3个月前下行（通胀回落，货币宽松空间打开）,2012-04-23
2012-04-30,2012-05-20,3.3653,3.3707333333333325,-0.6984,1.3361666666666663,1,看多：通胀方向因子较3个月前下行（通胀回落，货币宽松空间打开）,2012-05-21
2012-05-31,2012-06-20,3.0008,3.3172333333333324,-1.3981,0.9595666666666662,1,看多：通胀方向因子较3个月前下行（通胀回落，货币宽松空间打开）,2012-06-21
2012-06-30,2012-07-20,2.1504,2.838833333333332,-2.0843,0.3772666666666662,1,看多：通胀方向因子较3个月前下行（通胀回落，货币宽松空间打开）,2012-07-23
2012-07-31,2012-08-20,1.8,2.317066666666666,-2.8651,-0.274016666666667,1,看多：通胀方向因子较3个月前下行（通胀回落，货币宽松空间打开）,2012-08-21
2012-08-31,2012-09-20,2.0,1.983466666666666,-3.4784,-0.7474666666666671,1,看多：通胀方向因子较3个月前下行（通胀回落，货币宽松空间打开）,2012-09-21
2012-09-30,2012-10-20,1.9,1.8999999999999992,-3.5545,-0.8272500000000004,1,看多：通胀方向因子较3个月前下行（通胀回落，货币宽松空间打开）,2012-10-22
2012-10-31,2012-11-20,1.7,1.866666666666666,-2.7558,-0.4445666666666669,1,看多：通胀方向因子较3个月前下行（通胀回落，货币宽松空间打开）,2012-11-21
2012-11-30,2012-12-20,2.0,1.866666666666666,-2.1995,-0.166416666666667,-1,看空：通胀方向因子未较3个月前下行（通胀未回落）,2012-12-21
2012-12-31,2013-01-20,2.5,2.066666666666666,-1.9397,0.063483333333333,-1,看空：通胀方向因子未较3个月前下行（通胀未回落）,2013-01-21
2013-01-31,2013-02-20,2.0,2.166666666666666,-1.6372,0.26473333333333304,-1,看空：通胀方向因子未较3个月前下行（通胀未回落）,2013-02-21
2013-02-28,2013-03-20,3.2,2.566666666666666,-1.6254,0.470633333333333,-1,看空：通胀方向因子未较3个月前下行（通胀未回落）,2013-03-21
2013-03-31,2013-04-20,2.1,2.4333333333333327,-1.919,0.2571666666666663,-1,看空：通胀方向因子未较3个月前下行（通胀未回落）,2013-04-22
2013-04-30,2013-05-20,2.4,2.566666666666666,-2.6175,-0.025416666666667087,1,看多：通胀方向因子较3个月前下行（通胀回落，货币宽松空间打开）,2013-05-21
